ID	log2fold	p	p.adj
ENSMUSG00000026009	3.3546951517	5.22968015932523E-017	7.37208224081096E-015
ENSMUSG00000044317	-2.7848004718	5.92412498955282E-017	8.29496776221749E-015
ENSMUSG00000030711	-2.5848720304	6.91026585546697E-017	9.61125843617383E-015
ENSMUSG00000026433	1.7147122801	7.33082585041869E-017	1.0062040770874E-014
ENSMUSG00000024402	3.1350504107	7.2861227607482E-017	1.0062040770874E-014
ENSMUSG00000020814	-3.7489871233	8.32645328014923E-017	1.13539081558009E-014
ENSMUSG00000028300	1.9663209142	8.99026181642191E-017	1.21794696283124E-014
ENSMUSG00000028465	-1.9996903646	9.15283494060671E-017	1.22557627815633E-014
ENSMUSG00000028965	3.9662484883	9.16406554150349E-017	1.22557627815633E-014
ENSMUSG00000002799	-2.6414428091	9.45544872380317E-017	1.25649061608093E-014
ENSMUSG00000040329	3.4112315099	1.05021612008832E-016	1.38675056413941E-014
ENSMUSG00000038776	3.7765684992	1.12046281927968E-016	1.47020225148629E-014
ENSMUSG00000047945	3.293258819	1.15876366898427E-016	1.5053438826446E-014
ENSMUSG00000022237	3.675083394	1.16167552655793E-016	1.5053438826446E-014
ENSMUSG00000036815	7.9019788304	1.26326822066038E-016	1.6268867214591E-014
ENSMUSG00000024451	-4.160185384	1.58187699548414E-016	2.02470550655127E-014
ENSMUSG00000010307	2.5867836281	1.7547177910246E-016	2.23223641915526E-014
ENSMUSG00000040165	-4.5742880958	1.97829318392587E-016	2.50140186037851E-014
ENSMUSG00000001288	3.8055451932	2.0097277033572E-016	2.5258403057314E-014
ENSMUSG00000051079	7.2660276654	2.39121501164414E-016	2.98730052622346E-014
ENSMUSG00000015501	-1.7621150049	2.4726686392037E-016	3.05294599604792E-014
ENSMUSG00000001700	3.2064545702	2.4730281998375E-016	3.05294599604792E-014
ENSMUSG00000027863	4.5727571948	2.56015796671682E-016	3.14191621527135E-014
ENSMUSG00000076614	6.3288728551	2.69516378255835E-016	3.28825742663829E-014
ENSMUSG00000030474	-4.2827668688	2.83510183191621E-016	3.43887962321325E-014
ENSMUSG00000040350	2.9211073774	2.90465708788215E-016	3.50288212858297E-014
ENSMUSG00000037108	-3.8550798511	3.12753697670557E-016	3.74998873247174E-014
ENSMUSG00000030207	-2.3487898076	3.55323222946918E-016	4.22372276867986E-014
ENSMUSG00000058755	3.3781660295	3.56312710198752E-016	4.22372276867986E-014
ENSMUSG00000024899	3.591008596	3.60034711864603E-016	4.2437311828425E-014
ENSMUSG00000070390	-3.0041993923	5.13185817981321E-016	6.01494141603613E-014
ENSMUSG00000057191	4.8935917704	5.63196535112991E-016	6.56422866595662E-014
ENSMUSG00000028101	1.5781184652	5.8774180251404E-016	6.81225401436135E-014
ENSMUSG00000026202	1.9928760697	6.70610399078772E-016	7.72980373258587E-014
ENSMUSG00000046456	-2.3900440669	7.90787999118225E-016	9.01541531453745E-014
ENSMUSG00000074211	2.9388194334	7.867770379938E-016	9.01541531453745E-014
ENSMUSG00000026179	2.5746122889	8.15378687213517E-016	9.245242147465E-014
ENSMUSG00000053553	-2.1270331158	8.90227998441781E-016	1.00393658008059E-013
ENSMUSG00000045826	3.8684910373	9.20310886382405E-016	1.0322820442256E-013
ENSMUSG00000104955	4.3346849347	9.31847860281726E-016	1.03963325716886E-013
ENSMUSG00000086564	-4.8007230587	9.58708644955198E-016	1.06391162019682E-013
ENSMUSG00000030329	-5.2485745534	9.77193414937147E-016	1.07868710136686E-013
ENSMUSG00000022797	-2.7672714632	9.92005461576381E-016	1.08927420762463E-013
ENSMUSG00000022602	3.9938600025	1.02081451410248E-015	1.11503943495917E-013
ENSMUSG00000045136	4.3410133185	1.03134769731271E-015	1.12067744838725E-013
ENSMUSG00000049892	4.0970103228	1.43726044487239E-015	1.55365620007112E-013
ENSMUSG00000102794	3.9824087565	1.5021539306201E-015	1.61543492033645E-013
ENSMUSG00000044199	3.2566453083	1.57527052330003E-015	1.68537789372351E-013
ENSMUSG00000020388	2.3282346949	1.64815023833736E-015	1.75435502155267E-013
ENSMUSG00000025825	2.3694152418	1.75054013979591E-015	1.85388420997777E-013
ENSMUSG00000027985	4.1185821047	1.76547035383797E-015	1.86025292889503E-013
ENSMUSG00000048120	-1.8846521416	1.88152556374811E-015	1.97257627318979E-013
ENSMUSG00000071356	-9.6149416382	2.10617470293667E-015	2.19705614136839E-013
ENSMUSG00000015474	4.1388252556	2.26793569235624E-015	2.35402698256857E-013
ENSMUSG00000000244	3.8990955885	2.28907560887089E-015	2.36420714989472E-013
ENSMUSG00000020178	2.9754493404	2.52175296753141E-015	2.59169123948807E-013
ENSMUSG00000043323	2.3736012323	2.55536353998233E-015	2.61336027130644E-013
ENSMUSG00000027072	7.829267131	2.92853642988066E-015	2.98039295300489E-013
ENSMUSG00000039316	2.6275010229	3.06226108525609E-015	3.10135694280086E-013
ENSMUSG00000035493	3.0959628957	3.13877102401633E-015	3.16348695043732E-013
ENSMUSG00000041608	-9.2948599586	3.47517668347969E-015	3.48570245901138E-013
ENSMUSG00000046949	-2.0413674273	4.28555826410976E-015	4.27797139062784E-013
ENSMUSG00000026730	-2.6615765561	4.55657656065056E-015	4.52685032308822E-013
ENSMUSG00000027994	3.0597615599	5.09265329014147E-015	5.03545144986832E-013
